"R"," R", "15680","08:20:42.066495","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15681","08:20:42.085695","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=570 Ack=7708 Win=32120 Len=0"
"R"," R", "15682","08:20:42.196010","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15683","08:20:42.196422","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15684","08:20:42.215663","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=571 Ack=7709 Win=32120 Len=0"
"R"," R", "15685","08:20:42.325815","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15686","08:20:42.326241","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15687","08:20:42.345630","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=572 Ack=7710 Win=32120 Len=0"
"R"," R", "15688","08:20:42.455725","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15689","08:20:42.456139","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15690","08:20:42.475600","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=573 Ack=7711 Win=32120 Len=0"
"R"," R", "15691","08:20:42.585729","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15692","08:20:42.586152","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15693","08:20:42.605615","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=574 Ack=7712 Win=32120 Len=0"
"R"," R", "15694","08:20:42.715778","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15695","08:20:42.716193","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15696","08:20:42.735549","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=575 Ack=7713 Win=32120 Len=0"
"R"," R", "15697","08:20:42.796668","196.37.75.158","172.16.114.148","FTP","66","Request: CWD artmap"
"R"," R", "15698","08:20:42.807858","172.16.114.148","196.37.75.158","FTP","83","Response: 250 CWD command successful."
"R"," R", "15699","08:20:42.825529","196.37.75.158","172.16.114.148","TCP","60","1798 → 21 [ACK] Seq=269 Ack=925 Win=32120 Len=0"
"R"," R", "15700","08:20:42.845653","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15701","08:20:42.846082","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15702","08:20:42.865522","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=576 Ack=7714 Win=32120 Len=0"
"R"," R", "15703","08:20:42.975621","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15704","08:20:42.976068","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15705","08:20:42.995499","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=577 Ack=7715 Win=32120 Len=0"
"R"," R", "15706","08:20:43.105582","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15707","08:20:43.106051","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15708","08:20:43.125467","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=578 Ack=7716 Win=32120 Len=0"
"R"," R", "15709","08:20:43.235572","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15710","08:20:43.235989","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15711","08:20:43.255441","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=579 Ack=7717 Win=32120 Len=0"
"R"," R", "15712","08:20:43.365542","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15713","08:20:43.365966","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15714","08:20:43.385418","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=580 Ack=7718 Win=32120 Len=0"
"R"," R", "15715","08:20:43.495524","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15716","08:20:43.495944","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "15717","08:20:43.515390","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=581 Ack=7719 Win=32120 Len=0"
"R"," R", "15718","08:20:43.626572","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "15719","08:20:43.628270","172.16.112.50","196.37.75.158","TELNET","122","Telnet Data ..."
"R"," R", "15720","08:20:43.631707","172.16.112.50","172.16.112.100","TCP","60","32803 → 80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"R"," R", "15721","08:20:43.631855","172.16.112.100","172.16.112.50","TCP","60","80 → 32803 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"R"," R", "15722","08:20:43.645364","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=583 Ack=7787 Win=32120 Len=0"
"R"," R", "15723","08:20:43.645707","172.16.112.50","196.37.75.158","TELNET","247","Telnet Data ..."
"R"," R", "15724","08:20:43.665371","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=583 Ack=7980 Win=32120 Len=0"
"R"," R", "15725","08:20:43.766124","196.37.75.158","172.16.114.148","FTP","79","Request: PORT 196,37,75,158,8,65"
"R"," R", "15726","08:20:43.766660","172.16.114.148","196.37.75.158","FTP","84","Response: 200 PORT command successful."
"R"," R", "15727","08:20:43.767606","196.37.75.158","172.16.114.148","FTP","60","Request: LIST"
