"R"," R", "105475","08:57:35.003551","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x341e No such name MX hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105476","08:57:35.003864","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x341f A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105477","08:57:35.004298","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x341f No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105478","08:57:35.015120","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x4e2b A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105479","08:57:35.015557","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x4e2b No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105480","08:57:35.016271","172.16.112.100","172.16.112.20","DNS","126","Standard query 0x4e2c A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.eyrie.af.mil"
"R"," R", "105481","08:57:35.016720","172.16.112.20","172.16.112.100","DNS","192","Standard query response 0x4e2c No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105482","08:57:35.017398","172.16.112.100","172.16.112.20","DNS","120","Standard query 0x4e2d A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.af.mil"
"R"," R", "105483","08:57:35.017830","172.16.112.20","172.16.112.100","DNS","173","Standard query response 0x4e2d No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.af.mil SOA aesop.world.net"
"R"," R", "105484","08:57:35.104006","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x3420 MX hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105485","08:57:35.104456","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x3420 No such name MX hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105486","08:57:35.109222","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x3421 A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105487","08:57:35.109658","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x3421 No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105488","08:57:35.115951","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x4e2e A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105489","08:57:35.116375","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x4e2e No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105490","08:57:35.117185","172.16.112.100","172.16.112.20","DNS","126","Standard query 0x4e2f A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.eyrie.af.mil"
"R"," R", "105491","08:57:35.117634","172.16.112.20","172.16.112.100","DNS","192","Standard query response 0x4e2f No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105492","08:57:35.118317","172.16.112.100","172.16.112.20","DNS","120","Standard query 0x4e30 A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.af.mil"
"R"," R", "105493","08:57:35.118752","172.16.112.20","172.16.112.100","DNS","173","Standard query response 0x4e30 No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.af.mil SOA aesop.world.net"
"R"," R", "105494","08:57:35.224334","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x3422 MX hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105495","08:57:35.224773","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x3422 No such name MX hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105496","08:57:35.225083","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x3423 A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105497","08:57:35.225521","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x3423 No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105498","08:57:35.232003","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x4e31 A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
"R"," R", "105499","08:57:35.232439","172.16.112.20","172.16.112.100","DNS","179","Standard query response 0x4e31 No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105500","08:57:35.233157","172.16.112.100","172.16.112.20","DNS","126","Standard query 0x4e32 A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.eyrie.af.mil"
"R"," R", "105501","08:57:35.233608","172.16.112.20","172.16.112.100","DNS","192","Standard query response 0x4e32 No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.eyrie.af.mil SOA hobbes.eyrie.af.mil"
"R"," R", "105502","08:57:35.234273","172.16.112.100","172.16.112.20","DNS","120","Standard query 0x4e33 A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.af.mil"
"R"," R", "105503","08:57:35.234707","172.16.112.20","172.16.112.100","DNS","173","Standard query response 0x4e33 No such name A hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil.af.mil SOA aesop.world.net"
"R"," R", "105504","08:57:35.318861","172.16.112.100","172.16.112.20","DNS","113","Standard query 0x3424 MX hume.eyrie.af.mil@hume.eyrie.af.mil@hume.eyrie.af.mil"
