0,,,Total Samples,Total Predicted Positives,Total positive predicted samples percentage,,Attack 2493 - 2815,Attack 4674 - 4854,Attack 5252 - 5432,Attack 8847 - 10750,Attack 16836 - 17244,Attack 25410 - 26726,Attack 28927 - 29456,Attack 29716 - 29974,Attack 32492 - 34752,Attack 37782 - 40408,Attack 19656 - 22067
0,,,43649,9487,0.217347476,PERCENT:,0.256965944,0.182320442,0.198895028,0.216386555,0.239608802,0.240698557,0.183018868,0.162162162,0.264927023,0.217738866,0.204809287
0,,,,,,Length,323,181,181,1904,409,1317,530,259,2261,2627,2412
1,,,,,,"SUM(2493, -2815)*-1 + 1",,,,,,,,,,,
0,,,,,,"COUNTIF(A1:A43649,1)/COUNTA(A1:A43649)",,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
